source_domain,source_dataset,source_variable,label,data_type,missing_rate,unique_count,form_name,grain,keys,concept_roles,format_candidates,partial_tokens,record_count
DM,ex_b_raw,DOSE_DATE,DOSE DATE,character,0,3,Exposure B,many_records_per_subject,STUDY | PATNUM,date,dd-mmm-yyyy,,5
DM,ex_b_raw,DOSE_TIME,DOSE TIME,hms,0,5,Exposure B,many_records_per_subject,STUDY | PATNUM,time,H:M,,5
DM,ex_b_raw,PATNUM,Subject identifier,character,0,4,Exposure B,many_records_per_subject,STUDY | PATNUM,,,,5
DM,ex_b_raw,STUDY,Study identifier,character,0,1,Exposure B,many_records_per_subject,STUDY | PATNUM,,,,5
AE,sae_detail,AEID,AEID,numeric,0,2,Serious Adverse Event Details,one_record_per_event,STUDY | PATNUM | AEID,join_key,,,5
AE,sae_detail,AESHOSP,AESHOSP,character,0,2,Serious Adverse Event Details,one_record_per_event,STUDY | PATNUM | AEID,hospitalization_indicator,,,5
AE,sae_detail,PATNUM,Subject identifier,character,0,4,Serious Adverse Event Details,one_record_per_event,STUDY | PATNUM | AEID,join_key,,,5
AE,sae_detail,STUDY,Study identifier,character,0,1,Serious Adverse Event Details,one_record_per_event,STUDY | PATNUM | AEID,join_key,,,5
VS,vs_mixed,DIA_BP,Diastolic blood pressure,numeric,0,8,Vital Signs,one_record_per_subject_visit,STUDY | PATNUM | INSTANCE,result,,,8
VS,vs_mixed,DIA_BPU,DIA BPU,character,0,1,Vital Signs,one_record_per_subject_visit,STUDY | PATNUM | INSTANCE,original_unit,,,8
VS,vs_mixed,HEIGHT,HEIGHT,numeric,0.5,4,Vital Signs,one_record_per_subject_visit,STUDY | PATNUM | INSTANCE,result,,,8
VS,vs_mixed,HEIGHTU,HEIGHTU,character,0.5,2,Vital Signs,one_record_per_subject_visit,STUDY | PATNUM | INSTANCE,original_unit,,,8
VS,vs_mixed,INSTANCE,Visit name,character,0,2,Vital Signs,one_record_per_subject_visit,STUDY | PATNUM | INSTANCE,visit,,,8
VS,vs_mixed,PATNUM,Subject identifier,character,0,4,Vital Signs,one_record_per_subject_visit,STUDY | PATNUM | INSTANCE,subject_identifier,,,8
VS,vs_mixed,PULSE,Pulse rate,numeric,0,8,Vital Signs,one_record_per_subject_visit,STUDY | PATNUM | INSTANCE,result,,,8
VS,vs_mixed,PULSEU,PULSEU,character,0,1,Vital Signs,one_record_per_subject_visit,STUDY | PATNUM | INSTANCE,original_unit,,,8
VS,vs_mixed,STUDY,Study identifier,character,0,1,Vital Signs,one_record_per_subject_visit,STUDY | PATNUM | INSTANCE,study_identifier,,,8
VS,vs_mixed,SUBPOS,Body position,character,0,3,Vital Signs,one_record_per_subject_visit,STUDY | PATNUM | INSTANCE,body_position,,,8
VS,vs_mixed,SYS_BP,Systolic blood pressure,numeric,0,8,Vital Signs,one_record_per_subject_visit,STUDY | PATNUM | INSTANCE,result,,,8
VS,vs_mixed,SYS_BPU,SYS BPU,character,0,1,Vital Signs,one_record_per_subject_visit,STUDY | PATNUM | INSTANCE,original_unit,,,8
VS,vs_mixed,TEMP,TEMP,numeric,0,8,Vital Signs,one_record_per_subject_visit,STUDY | PATNUM | INSTANCE,result,,,8
VS,vs_mixed,TEMPU,TEMPU,character,0,2,Vital Signs,one_record_per_subject_visit,STUDY | PATNUM | INSTANCE,original_unit,,,8
VS,vs_mixed,VSTIM,VSTIM,hms,0,8,Vital Signs,one_record_per_subject_visit,STUDY | PATNUM | INSTANCE,time,H:M,,8
VS,vs_mixed,VTLD,Vital signs date,character,0,6,Vital Signs,one_record_per_subject_visit,STUDY | PATNUM | INSTANCE,date,dd-mmm-yyyy,,8
VS,vs_mixed,WEIGHT,WEIGHT,numeric,0,8,Vital Signs,one_record_per_subject_visit,STUDY | PATNUM | INSTANCE,result,,,8
VS,vs_mixed,WEIGHTU,WEIGHTU,character,0,2,Vital Signs,one_record_per_subject_visit,STUDY | PATNUM | INSTANCE,original_unit,,,8
