task_id,assembly_group_id,step_order,transform_id,source_ref_ids,target_variables,parameters,parameter_sources
VS_DATETIME,VS_CORE,1,to_iso8601_datetime,"[""vs_mixed__VTLD"",""vs_mixed__VSTIM""]","""VSDTC""","{""formats"":[""dd-mmm-yyyy"",""H:M""],""unknown_tokens"":[""UNK"",""UN""]}","{""formats"":{""source"":""reviewer"",""reference"":""fixed_test_response""},""unknown_tokens"":{""source"":""reviewer"",""reference"":""fixed_test_response""}}"
VS_POSITION,VS_CORE,1,assign_ct,"""vs_mixed__SUBPOS""","""VSPOS""","{""codelist_id"":""VSPOS""}","{""codelist_id"":{""source"":""reviewer"",""reference"":""fixed_test_response""}}"
VS_HEIGHT_RECORD,VS_HEIGHT,1,transpose_findings,"[""vs_mixed__HEIGHT"",""vs_mixed__HEIGHTU""]","[""VSTESTCD"",""VSTEST"",""VSORRES"",""VSORRESU""]","{""test_code"":""HEIGHT"",""test_name"":""Height"",""original_unit"":null,""unit_source"":""HEIGHTU""}","{""test_code"":{""source"":""reviewer"",""reference"":""fixed_test_response""},""test_name"":{""source"":""reviewer"",""reference"":""fixed_test_response""},""original_unit"":{""source"":""reviewer"",""reference"":""fixed_test_response""},""unit_source"":{""source"":""reviewer"",""reference"":""fixed_test_response""}}"
VS_HEIGHT_STANDARDIZATION,VS_HEIGHT,1,standardize_unit,"[""vs_mixed__HEIGHT"",""vs_mixed__HEIGHTU""]","[""VSSTRESC"",""VSSTRESN"",""VSSTRESU""]","{""conversion_set_id"":""vs_standard_v1"",""target_unit"":""cm""}","{""conversion_set_id"":{""source"":""reviewer"",""reference"":""fixed_test_response""},""target_unit"":{""source"":""reviewer"",""reference"":""fixed_test_response""}}"
VS_WEIGHT_RECORD,VS_WEIGHT,1,transpose_findings,"[""vs_mixed__WEIGHT"",""vs_mixed__WEIGHTU""]","[""VSTESTCD"",""VSTEST"",""VSORRES"",""VSORRESU""]","{""test_code"":""WEIGHT"",""test_name"":""Weight"",""original_unit"":null,""unit_source"":""WEIGHTU""}","{""test_code"":{""source"":""reviewer"",""reference"":""fixed_test_response""},""test_name"":{""source"":""reviewer"",""reference"":""fixed_test_response""},""original_unit"":{""source"":""reviewer"",""reference"":""fixed_test_response""},""unit_source"":{""source"":""reviewer"",""reference"":""fixed_test_response""}}"
VS_WEIGHT_STANDARDIZATION,VS_WEIGHT,1,standardize_unit,"[""vs_mixed__WEIGHT"",""vs_mixed__WEIGHTU""]","[""VSSTRESC"",""VSSTRESN"",""VSSTRESU""]","{""conversion_set_id"":""vs_standard_v1"",""target_unit"":""kg""}","{""conversion_set_id"":{""source"":""reviewer"",""reference"":""fixed_test_response""},""target_unit"":{""source"":""reviewer"",""reference"":""fixed_test_response""}}"
VS_TEMP_RECORD,VS_TEMP,1,transpose_findings,"[""vs_mixed__TEMP"",""vs_mixed__TEMPU""]","[""VSTESTCD"",""VSTEST"",""VSORRES"",""VSORRESU""]","{""test_code"":""TEMP"",""test_name"":""Temperature"",""original_unit"":null,""unit_source"":""TEMPU""}","{""test_code"":{""source"":""reviewer"",""reference"":""fixed_test_response""},""test_name"":{""source"":""reviewer"",""reference"":""fixed_test_response""},""original_unit"":{""source"":""reviewer"",""reference"":""fixed_test_response""},""unit_source"":{""source"":""reviewer"",""reference"":""fixed_test_response""}}"
VS_TEMP_STANDARDIZATION,VS_TEMP,1,standardize_unit,"[""vs_mixed__TEMP"",""vs_mixed__TEMPU""]","[""VSSTRESC"",""VSSTRESN"",""VSSTRESU""]","{""conversion_set_id"":""vs_standard_v1"",""target_unit"":""C""}","{""conversion_set_id"":{""source"":""reviewer"",""reference"":""fixed_test_response""},""target_unit"":{""source"":""reviewer"",""reference"":""fixed_test_response""}}"
VS_SYSBP_RECORD,VS_SYSBP,1,transpose_findings,"[""vs_mixed__SYS_BP"",""vs_mixed__SYS_BPU""]","[""VSTESTCD"",""VSTEST"",""VSORRES"",""VSORRESU""]","{""test_code"":""SYSBP"",""test_name"":""Systolic Blood Pressure"",""original_unit"":null,""unit_source"":""SYS_BPU""}","{""test_code"":{""source"":""reviewer"",""reference"":""fixed_test_response""},""test_name"":{""source"":""reviewer"",""reference"":""fixed_test_response""},""original_unit"":{""source"":""reviewer"",""reference"":""fixed_test_response""},""unit_source"":{""source"":""reviewer"",""reference"":""fixed_test_response""}}"
VS_SYSBP_STANDARDIZATION,VS_SYSBP,1,standardize_unit,"[""vs_mixed__SYS_BP"",""vs_mixed__SYS_BPU""]","[""VSSTRESC"",""VSSTRESN"",""VSSTRESU""]","{""conversion_set_id"":""vs_standard_v1"",""target_unit"":""mmHg""}","{""conversion_set_id"":{""source"":""reviewer"",""reference"":""fixed_test_response""},""target_unit"":{""source"":""reviewer"",""reference"":""fixed_test_response""}}"
VS_DIABP_RECORD,VS_DIABP,1,transpose_findings,"[""vs_mixed__DIA_BP"",""vs_mixed__DIA_BPU""]","[""VSTESTCD"",""VSTEST"",""VSORRES"",""VSORRESU""]","{""test_code"":""DIABP"",""test_name"":""Diastolic Blood Pressure"",""original_unit"":null,""unit_source"":""DIA_BPU""}","{""test_code"":{""source"":""reviewer"",""reference"":""fixed_test_response""},""test_name"":{""source"":""reviewer"",""reference"":""fixed_test_response""},""original_unit"":{""source"":""reviewer"",""reference"":""fixed_test_response""},""unit_source"":{""source"":""reviewer"",""reference"":""fixed_test_response""}}"
VS_DIABP_STANDARDIZATION,VS_DIABP,1,standardize_unit,"[""vs_mixed__DIA_BP"",""vs_mixed__DIA_BPU""]","[""VSSTRESC"",""VSSTRESN"",""VSSTRESU""]","{""conversion_set_id"":""vs_standard_v1"",""target_unit"":""mmHg""}","{""conversion_set_id"":{""source"":""reviewer"",""reference"":""fixed_test_response""},""target_unit"":{""source"":""reviewer"",""reference"":""fixed_test_response""}}"
VS_PULSE_RECORD,VS_PULSE,1,transpose_findings,"[""vs_mixed__PULSE"",""vs_mixed__PULSEU""]","[""VSTESTCD"",""VSTEST"",""VSORRES"",""VSORRESU""]","{""test_code"":""PULSE"",""test_name"":""Pulse Rate"",""original_unit"":null,""unit_source"":""PULSEU""}","{""test_code"":{""source"":""reviewer"",""reference"":""fixed_test_response""},""test_name"":{""source"":""reviewer"",""reference"":""fixed_test_response""},""original_unit"":{""source"":""reviewer"",""reference"":""fixed_test_response""},""unit_source"":{""source"":""reviewer"",""reference"":""fixed_test_response""}}"
VS_PULSE_STANDARDIZATION,VS_PULSE,1,standardize_unit,"[""vs_mixed__PULSE"",""vs_mixed__PULSEU""]","[""VSSTRESC"",""VSSTRESN"",""VSSTRESU""]","{""conversion_set_id"":""vs_standard_v1"",""target_unit"":""beats/min""}","{""conversion_set_id"":{""source"":""reviewer"",""reference"":""fixed_test_response""},""target_unit"":{""source"":""reviewer"",""reference"":""fixed_test_response""}}"
VS_SEQUENCE,VS_POST_DERIVATIONS,1,derive_sequence,[],"""VSSEQ""","{""record_variables"":[""STUDYID"",""USUBJID"",""VSDTC"",""VSTESTCD"",""VSPOS"",""VISITNUM"","".SOURCE_ROW""],""start_at"":1}","{""record_variables"":{""source"":""reviewer"",""reference"":""fixed_test_response""},""start_at"":{""source"":""reviewer"",""reference"":""fixed_test_response""}}"
VS_STUDY_DAY,VS_POST_DERIVATIONS,1,derive_study_day,[],"""VSDY""","{""target_date"":""VSDTC"",""reference_date"":""RFSTDTC""}","{""target_date"":{""source"":""reviewer"",""reference"":""fixed_test_response""},""reference_date"":{""source"":""reviewer"",""reference"":""fixed_test_response""}}"
VS_BASELINE_FLAG,VS_POST_DERIVATIONS,1,derive_baseline_flag,[],"""VSBLFL""","{""reference_date"":""RFSTDTC"",""baseline_visits"":""Screening 1"",""baseline_timepoints"":[]}","{""reference_date"":{""source"":""reviewer"",""reference"":""fixed_test_response""},""baseline_visits"":{""source"":""reviewer"",""reference"":""fixed_test_response""},""baseline_timepoints"":{""source"":""reviewer"",""reference"":""fixed_test_response""}}"
