concept_id,step_order,transform_id,source_keys,target_variables,parameters
VS_HEIGHT,1,transpose_findings,"[""vs_raw.IT.HEIGHT_VSORRES""]","[""VSTESTCD"",""VSTEST"",""VSORRES"",""VSORRESU""]","{""test_code"":""HEIGHT"",""test_name"":""Height"",""original_unit"":""cm"",""unit_source"":null}"
VS_HEIGHT,2,standardize_unit,"[""vs_raw.IT.HEIGHT_VSORRES""]","[""VSSTRESC"",""VSSTRESN"",""VSSTRESU""]","{""conversion_set_id"":""vs_standard_v1"",""target_unit"":""cm""}"
VS_POST_DERIVATIONS,1,derive_sequence,[],"[""VSSEQ""]","{""record_variables"":[""STUDYID"",""USUBJID"",""VSDTC"",""VSTESTCD"",""VSPOS"",""VISITNUM"","".SOURCE_ROW""],""start_at"":1}"
VS_POST_DERIVATIONS,2,derive_study_day,[],"[""VSDY""]","{""target_date"":""VSDTC"",""reference_date"":""RFSTDTC""}"
VS_PULSE,1,transpose_findings,"[""vs_raw.PULSE""]","[""VSTESTCD"",""VSTEST"",""VSORRES"",""VSORRESU""]","{""test_code"":""PULSE"",""test_name"":""Pulse Rate"",""original_unit"":""beats/min"",""unit_source"":null}"
VS_PULSE,2,standardize_unit,"[""vs_raw.PULSE""]","[""VSSTRESC"",""VSSTRESN"",""VSSTRESU""]","{""conversion_set_id"":""vs_standard_v1"",""target_unit"":""beats/min""}"
VS_SYSBP,1,transpose_findings,"[""vs_raw.SYS_BP""]","[""VSTESTCD"",""VSTEST"",""VSORRES"",""VSORRESU""]","{""test_code"":""SYSBP"",""test_name"":""Systolic Blood Pressure"",""original_unit"":""mmHg"",""unit_source"":null}"
VS_SYSBP,2,standardize_unit,"[""vs_raw.SYS_BP""]","[""VSSTRESC"",""VSSTRESN"",""VSSTRESU""]","{""conversion_set_id"":""vs_standard_v1"",""target_unit"":""mmHg""}"
VS_TEMP,1,transpose_findings,"[""vs_raw.IT.TEMP""]","[""VSTESTCD"",""VSTEST"",""VSORRES"",""VSORRESU""]","{""test_code"":""TEMP"",""test_name"":""Temperature"",""original_unit"":""C"",""unit_source"":null}"
VS_TEMP,2,standardize_unit,"[""vs_raw.IT.TEMP""]","[""VSSTRESC"",""VSSTRESN"",""VSSTRESU""]","{""conversion_set_id"":""vs_standard_v1"",""target_unit"":""C""}"
VS_WEIGHT,1,transpose_findings,"[""vs_raw.IT.WEIGHT""]","[""VSTESTCD"",""VSTEST"",""VSORRES"",""VSORRESU""]","{""test_code"":""WEIGHT"",""test_name"":""Weight"",""original_unit"":""kg"",""unit_source"":null}"
VS_WEIGHT,2,standardize_unit,"[""vs_raw.IT.WEIGHT""]","[""VSSTRESC"",""VSSTRESN"",""VSSTRESU""]","{""conversion_set_id"":""vs_standard_v1"",""target_unit"":""kg""}"
