concept_id,step_order,transform_id,source_keys,target_variables,parameters
AE_START,2,derive_study_day,[],"[""AESTDY""]","{""target_date"":""AESTDTC"",""reference_date"":""RFSTDTC""}"
AE_TERMS,1,assign_no_ct,"[""ae_merged.AETERM""]","[""AETERM""]",[]
AE_TERMS,2,assign_no_ct,"[""ae_merged.AEDECOD""]","[""AEDECOD""]",[]
AE_TERMS,3,normalize_case,"[""ae_merged.AEBODSYS""]","[""AEBODSYS""]","{""case"":""upper""}"
DM_CONSENT,1,to_iso8601_date,"[""dm_subject.IC_DT""]","[""RFICDTC""]","{""formats"":""m/d/y""}"
DM_CORE,1,assign_no_ct,"[""dm_subject.STUDY""]","[""STUDYID""]",[]
DM_CORE,2,hardcode_no_ct,[],"[""DOMAIN""]","{""value"":""DM""}"
DM_CORE,3,derive_usubjid,"[""dm_subject.STUDY"",""dm_subject.PATNUM""]","[""USUBJID""]","{""separator"":""-""}"
DM_CORE,4,assign_no_ct,"[""dm_subject.PATNUM""]","[""SUBJID""]",[]
DM_CORE,5,extract_delimited_part,"[""dm_subject.PATNUM""]","[""SITEID""]","{""separator"":""-"",""position"":1}"
DM_DEMOGRAPHICS,1,assign_no_ct,"[""dm_subject.AGE""]","[""AGE""]",[]
DM_DEMOGRAPHICS,2,hardcode_ct,[],"[""AGEU""]","{""value"":""YEARS"",""codelist_id"":""AGEU""}"
DM_DEMOGRAPHICS,3,assign_ct,"[""dm_subject.SEX""]","[""SEX""]","{""codelist_id"":""SEX""}"
DM_DEMOGRAPHICS,4,assign_ct,"[""dm_subject.ETHNIC""]","[""ETHNIC""]","{""codelist_id"":""ETHNIC""}"
DM_DEMOGRAPHICS,5,assign_ct,"[""dm_subject.RACE""]","[""RACE""]","{""codelist_id"":""RACE""}"
DM_DEMOGRAPHICS,6,assign_no_ct,"[""dm_subject.COUNTRY""]","[""COUNTRY""]",[]
DM_REFERENCE_START,1,derive_reference_datetime,"[""ex_a_raw.EXSTDAT"",""ex_a_raw.EXSTTIM"",""ex_b_raw.DOSE_DATE"",""ex_b_raw.DOSE_TIME""]","[""RFSTDTC""]","{""selection"":""min"",""subject_keys"":""PATNUM"",""sources"":[{""dataset"":""ex_a_raw"",""date_variable"":""EXSTDAT"",""time_variable"":""EXSTTIM"",""date_formats"":""m/d/y"",""time_formats"":""H:M""},{""dataset"":""ex_b_raw"",""date_variable"":""DOSE_DATE"",""time_variable"":""DOSE_TIME"",""date_formats"":""dd-mmm-yyyy"",""time_formats"":""H:M""}]}"
DM_TREATMENT,1,assign_no_ct,"[""dm_subject.PLANNED_ARMCD""]","[""ARMCD""]",[]
DM_TREATMENT,2,assign_no_ct,"[""dm_subject.PLANNED_ARM""]","[""ARM""]",[]
DM_TREATMENT,3,assign_no_ct,"[""dm_subject.ACTUAL_ARMCD""]","[""ACTARMCD""]",[]
DM_TREATMENT,4,assign_no_ct,"[""dm_subject.ACTUAL_ARM""]","[""ACTARM""]",[]
VS_CORE,1,assign_no_ct,"[""vs_mixed.STUDY""]","[""STUDYID""]",[]
VS_CORE,2,hardcode_no_ct,[],"[""DOMAIN""]","{""value"":""VS""}"
VS_CORE,3,derive_usubjid,"[""vs_mixed.STUDY"",""vs_mixed.PATNUM""]","[""USUBJID""]","{""separator"":""-""}"
VS_CORE,4,assign_no_ct,"[""vs_mixed.INSTANCE""]","[""VISIT""]",[]
VS_CORE,5,to_iso8601_datetime,"[""vs_mixed.VTLD"",""vs_mixed.VSTIM""]","[""VSDTC""]","{""formats"":[""dd-mmm-yyyy"",""H:M""],""unknown_tokens"":[""UNK"",""UN""]}"
VS_CORE,6,assign_ct,"[""vs_mixed.SUBPOS""]","[""VSPOS""]","{""codelist_id"":""VSPOS""}"
VS_CORE,7,derive_visitnum,"[""vs_mixed.INSTANCE""]","[""VISITNUM""]","{""visit_map_id"":""trace_visits_v1""}"
VS_DIABP,1,transpose_findings,"[""vs_mixed.DIA_BP"",""vs_mixed.DIA_BPU""]","[""VSTESTCD"",""VSTEST"",""VSORRES"",""VSORRESU""]","{""test_code"":""DIABP"",""test_name"":""Diastolic Blood Pressure"",""original_unit"":null,""unit_source"":""DIA_BPU""}"
VS_DIABP,2,standardize_unit,"[""vs_mixed.DIA_BP"",""vs_mixed.DIA_BPU""]","[""VSSTRESC"",""VSSTRESN"",""VSSTRESU""]","{""conversion_set_id"":""vs_standard_v1"",""target_unit"":""mmHg""}"
VS_HEIGHT,1,transpose_findings,"[""vs_mixed.HEIGHT"",""vs_mixed.HEIGHTU""]","[""VSTESTCD"",""VSTEST"",""VSORRES"",""VSORRESU""]","{""test_code"":""HEIGHT"",""test_name"":""Height"",""original_unit"":null,""unit_source"":""HEIGHTU""}"
VS_HEIGHT,2,standardize_unit,"[""vs_mixed.HEIGHT"",""vs_mixed.HEIGHTU""]","[""VSSTRESC"",""VSSTRESN"",""VSSTRESU""]","{""conversion_set_id"":""vs_standard_v1"",""target_unit"":""cm""}"
VS_POST_DERIVATIONS,1,derive_sequence,[],"[""VSSEQ""]","{""record_variables"":[""STUDYID"",""USUBJID"",""VSDTC"",""VSTESTCD"",""VSPOS"",""VISITNUM"","".SOURCE_ROW""],""start_at"":1}"
VS_POST_DERIVATIONS,2,derive_study_day,[],"[""VSDY""]","{""target_date"":""VSDTC"",""reference_date"":""RFSTDTC""}"
VS_POST_DERIVATIONS,3,derive_baseline_flag,[],"[""VSBLFL""]","{""reference_date"":""RFSTDTC"",""baseline_visits"":""Screening 1"",""baseline_timepoints"":[]}"
VS_PULSE,1,transpose_findings,"[""vs_mixed.PULSE"",""vs_mixed.PULSEU""]","[""VSTESTCD"",""VSTEST"",""VSORRES"",""VSORRESU""]","{""test_code"":""PULSE"",""test_name"":""Pulse Rate"",""original_unit"":null,""unit_source"":""PULSEU""}"
VS_PULSE,2,standardize_unit,"[""vs_mixed.PULSE"",""vs_mixed.PULSEU""]","[""VSSTRESC"",""VSSTRESN"",""VSSTRESU""]","{""conversion_set_id"":""vs_standard_v1"",""target_unit"":""beats/min""}"
VS_SYSBP,1,transpose_findings,"[""vs_mixed.SYS_BP"",""vs_mixed.SYS_BPU""]","[""VSTESTCD"",""VSTEST"",""VSORRES"",""VSORRESU""]","{""test_code"":""SYSBP"",""test_name"":""Systolic Blood Pressure"",""original_unit"":null,""unit_source"":""SYS_BPU""}"
VS_SYSBP,2,standardize_unit,"[""vs_mixed.SYS_BP"",""vs_mixed.SYS_BPU""]","[""VSSTRESC"",""VSSTRESN"",""VSSTRESU""]","{""conversion_set_id"":""vs_standard_v1"",""target_unit"":""mmHg""}"
VS_TEMP,1,transpose_findings,"[""vs_mixed.TEMP"",""vs_mixed.TEMPU""]","[""VSTESTCD"",""VSTEST"",""VSORRES"",""VSORRESU""]","{""test_code"":""TEMP"",""test_name"":""Temperature"",""original_unit"":null,""unit_source"":""TEMPU""}"
VS_TEMP,2,standardize_unit,"[""vs_mixed.TEMP"",""vs_mixed.TEMPU""]","[""VSSTRESC"",""VSSTRESN"",""VSSTRESU""]","{""conversion_set_id"":""vs_standard_v1"",""target_unit"":""C""}"
VS_WEIGHT,1,transpose_findings,"[""vs_mixed.WEIGHT"",""vs_mixed.WEIGHTU""]","[""VSTESTCD"",""VSTEST"",""VSORRES"",""VSORRESU""]","{""test_code"":""WEIGHT"",""test_name"":""Weight"",""original_unit"":null,""unit_source"":""WEIGHTU""}"
VS_WEIGHT,2,standardize_unit,"[""vs_mixed.WEIGHT"",""vs_mixed.WEIGHTU""]","[""VSSTRESC"",""VSSTRESN"",""VSSTRESU""]","{""conversion_set_id"":""vs_standard_v1"",""target_unit"":""kg""}"
