source_domain,source_dataset,source_variable,label,data_type,example_values,missing_rate,unique_count,form_name,grain,keys,concept_roles,format_candidates,partial_tokens,record_count
DM,dm_subject,ETHNIC,ETHNIC,character,Not Hispanic or Latino | Hispanic or Latino,0,2,Demographics,one_record_per_subject,STUDY | PATNUM,ethnicity,,,4
DM,dm_subject,IC_DT,Informed consent date,character,12/20/2024 | 12/21/2024 | 12/22/2024 | 12/23/2024,0,4,Demographics,one_record_per_subject,STUDY | PATNUM,date,m/d/y_or_d/m/y,,4
DM,dm_subject,PATNUM,Subject identifier,character,701-2001 | 701-2002 | 702-2003 | 702-2004,0,4,Demographics,one_record_per_subject,STUDY | PATNUM,subject_identifier,,,4
DM,dm_subject,PLANNED_ARM,Planned treatment arm,character,Placebo | Trace Drug 10 mg,0,2,Demographics,one_record_per_subject,STUDY | PATNUM,planned_arm,,,4
DM,dm_subject,PLANNED_ARMCD,Planned treatment arm code,character,PBO | TRT10,0,2,Demographics,one_record_per_subject,STUDY | PATNUM,planned_arm_code,,,4
DM,dm_subject,RACE,RACE,character,White | Asian | Black or African American,0,3,Demographics,one_record_per_subject,STUDY | PATNUM,race,,,4
DM,dm_subject,SEX,SEX,character,Female | Male,0,2,Demographics,one_record_per_subject,STUDY | PATNUM,sex,,,4
DM,dm_subject,STUDY,Study identifier,character,TRACE002,0,1,Demographics,one_record_per_subject,STUDY | PATNUM,study_identifier,,,4
DM,ex_a_raw,EXSTDAT,EXSTDAT,character,01/05/2025 | 01/12/2025 | 01/06/2025,0,3,Exposure A,many_records_per_subject,STUDY | PATNUM,date,m/d/y_or_d/m/y,,5
DM,ex_a_raw,EXSTTIM,EXSTTIM,hms,09:30:00 | 09:20:00 | 10:00:00 | 08:45:00 | 11:00:00,0,5,Exposure A,many_records_per_subject,STUDY | PATNUM,time,H:M,,5
DM,ex_a_raw,PATNUM,Subject identifier,character,701-2001 | 701-2002 | 702-2003 | 702-2004,0,4,Exposure A,many_records_per_subject,STUDY | PATNUM,,,,5
DM,ex_a_raw,STUDY,Study identifier,character,TRACE002,0,1,Exposure A,many_records_per_subject,STUDY | PATNUM,,,,5
DM,ex_b_raw,DOSE_DATE,DOSE DATE,character,05-Jan-2025 | 12-Jan-2025 | 06-Jan-2025,0,3,Exposure B,many_records_per_subject,STUDY | PATNUM,date,dd-mmm-yyyy,,5
DM,ex_b_raw,DOSE_TIME,DOSE TIME,hms,08:00:00 | 09:00:00 | 09:05:00 | 08:30:00 | 10:30:00,0,5,Exposure B,many_records_per_subject,STUDY | PATNUM,time,H:M,,5
DM,ex_b_raw,PATNUM,Subject identifier,character,701-2001 | 701-2002 | 702-2003 | 702-2004,0,4,Exposure B,many_records_per_subject,STUDY | PATNUM,,,,5
DM,ex_b_raw,STUDY,Study identifier,character,TRACE002,0,1,Exposure B,many_records_per_subject,STUDY | PATNUM,,,,5
AE,sae_detail,AEID,AEID,numeric,1 | 2,0,2,Serious Adverse Event Details,one_record_per_event,STUDY | PATNUM | AEID,join_key,,,5
AE,sae_detail,AESHOSP,AESHOSP,character,No | Yes,0,2,Serious Adverse Event Details,one_record_per_event,STUDY | PATNUM | AEID,hospitalization_indicator,,,5
AE,sae_detail,PATNUM,Subject identifier,character,701-2001 | 701-2002 | 702-2003 | 702-2004,0,4,Serious Adverse Event Details,one_record_per_event,STUDY | PATNUM | AEID,join_key,,,5
AE,sae_detail,STUDY,Study identifier,character,TRACE002,0,1,Serious Adverse Event Details,one_record_per_event,STUDY | PATNUM | AEID,join_key,,,5
VS,vs_mixed,DIA_BP,Diastolic blood pressure,numeric,78 | 76 | 82 | 80 | 74,0,8,Vital Signs,one_record_per_subject_visit,STUDY | PATNUM | INSTANCE,result,,,8
VS,vs_mixed,DIA_BPU,DIA BPU,character,mmHg,0,1,Vital Signs,one_record_per_subject_visit,STUDY | PATNUM | INSTANCE,original_unit,,,8
VS,vs_mixed,HEIGHT,HEIGHT,numeric,70 | 181 | 62.6 | 174,0.5,4,Vital Signs,one_record_per_subject_visit,STUDY | PATNUM | INSTANCE,result,,,8
VS,vs_mixed,HEIGHTU,HEIGHTU,character,in | cm,0.5,2,Vital Signs,one_record_per_subject_visit,STUDY | PATNUM | INSTANCE,original_unit,,,8
VS,vs_mixed,INSTANCE,Visit name,character,Screening 1 | Week 2,0,2,Vital Signs,one_record_per_subject_visit,STUDY | PATNUM | INSTANCE,visit,,,8
VS,vs_mixed,PATNUM,Subject identifier,character,701-2001 | 701-2002 | 702-2003 | 702-2004,0,4,Vital Signs,one_record_per_subject_visit,STUDY | PATNUM | INSTANCE,subject_identifier,,,8
VS,vs_mixed,PULSE,Pulse rate,numeric,64 | 62 | 72 | 70 | 68,0,8,Vital Signs,one_record_per_subject_visit,STUDY | PATNUM | INSTANCE,result,,,8
VS,vs_mixed,PULSEU,PULSEU,character,beats/min,0,1,Vital Signs,one_record_per_subject_visit,STUDY | PATNUM | INSTANCE,original_unit,,,8
VS,vs_mixed,STUDY,Study identifier,character,TRACE002,0,1,Vital Signs,one_record_per_subject_visit,STUDY | PATNUM | INSTANCE,study_identifier,,,8
VS,vs_mixed,SUBPOS,Body position,character,Supine | Sitting | Standing,0,3,Vital Signs,one_record_per_subject_visit,STUDY | PATNUM | INSTANCE,body_position,,,8
VS,vs_mixed,SYS_BP,Systolic blood pressure,numeric,122 | 120 | 130 | 126 | 116,0,8,Vital Signs,one_record_per_subject_visit,STUDY | PATNUM | INSTANCE,result,,,8
VS,vs_mixed,SYS_BPU,SYS BPU,character,mmHg,0,1,Vital Signs,one_record_per_subject_visit,STUDY | PATNUM | INSTANCE,original_unit,,,8
VS,vs_mixed,TEMP,TEMP,numeric,98.6 | 37.1 | 36.5 | 98.2 | 99.1,0,8,Vital Signs,one_record_per_subject_visit,STUDY | PATNUM | INSTANCE,result,,,8
VS,vs_mixed,TEMPU,TEMPU,character,F | C,0,2,Vital Signs,one_record_per_subject_visit,STUDY | PATNUM | INSTANCE,original_unit,,,8
VS,vs_mixed,VSTIM,VSTIM,hms,09:00:00 | 09:15:00 | 10:00:00 | 10:10:00 | 08:30:00,0,8,Vital Signs,one_record_per_subject_visit,STUDY | PATNUM | INSTANCE,time,H:M,,8
VS,vs_mixed,VTLD,Vital signs date,character,20-Dec-2024 | 19-Jan-2025 | 21-Dec-2024 | 22-Dec-2024 | 20-Jan-2025,0,6,Vital Signs,one_record_per_subject_visit,STUDY | PATNUM | INSTANCE,date,dd-mmm-yyyy,,8
VS,vs_mixed,WEIGHT,WEIGHT,numeric,180 | 81.2 | 86 | 188 | 132,0,8,Vital Signs,one_record_per_subject_visit,STUDY | PATNUM | INSTANCE,result,,,8
VS,vs_mixed,WEIGHTU,WEIGHTU,character,lb | kg,0,2,Vital Signs,one_record_per_subject_visit,STUDY | PATNUM | INSTANCE,original_unit,,,8
